time_operate,raw_speed,filter_speed
0.16,0,0
0.32,0,0
0.48,0,0.02
0.64,0.41,0.02
0.8,0,0.02
0.96,0,0.02
1.12,0,0.02
1.28,0.41,0
1.44,0,0.02
1.6,0.41,0.02
1.76,0,0.02
1.92,0,0.02
2.08,0,0.02
2.24,0,0
2.4,0,0.02
2.56,0,0.02
2.72,0.42,0.02
2.88,0.42,0.04
3.04,0.42,0.07
3.2,1.25,0.13
3.36,0.93,0.17
3.52,0.83,0.21
3.68,1.31,0.27
3.84,0.93,0.31
4,0.83,0.36
4.16,1.31,0.42
4.32,0.93,0.46
4.48,1.25,0.52
4.64,0.83,0.56
4.8,1.25,0.63
4.96,1.25,0.69
5.12,0.83,0.73
5.28,1.25,0.79
5.44,1.25,0.86
5.6,1.31,0.92
5.76,0.83,0.96
5.92,0.83,0.98
6.08,1.25,1.02
6.24,0.83,1.04
6.4,1.31,1.04
6.56,0.93,1.04
6.72,1.25,1.06
6.88,0.93,1.04
7.04,0.93,1.04
7.2,1.25,1.06
7.36,0.83,1.04
7.52,0.83,1.04
7.68,1.25,1.04
7.84,1.25,1.06
8,1.31,1.06
8.16,0.93,1.04
8.32,1.25,1.07
8.48,1.25,1.07
8.64,1.25,1.07
8.8,1.31,1.07
8.96,0.83,1.07
9.12,1.25,1.09
9.28,1.25,1.09
9.44,1.25,1.11
9.6,1.25,1.11
9.76,0.83,1.11
9.92,1.25,1.11
10.08,1.31,1.13
10.24,1.25,1.15
10.4,0.83,1.13
10.56,0.83,1.13
10.72,1.25,1.15
10.88,1.25,1.15
11.04,1.25,1.15
11.2,0.83,1.13
11.36,1.31,1.15
11.52,0.83,1.13
11.68,0.93,1.11
11.84,0.83,1.08
12,1.25,1.08
12.16,0.93,1.08
12.32,1.25,1.08
12.48,0.83,1.06
12.64,1.25,1.06
12.8,1.31,1.07
12.96,0.83,1.07
13.12,0.83,1.04
13.28,1.25,1.04
13.44,1.25,1.04
13.6,0.83,1.04
13.76,1.31,1.07
13.92,0.83,1.04
14.08,1.25,1.04
14.24,0.83,1.02
14.4,1.25,1.04
14.56,0.83,1.02
14.72,1.25,1.04
14.88,1.31,1.07
15.04,1.25,1.09
15.2,0.83,1.07
15.36,1.25,1.09
15.52,1.25,1.09
15.68,0.93,1.09
15.84,1.25,1.09
16,0.83,1.07
16.16,1.25,1.09
16.32,0.83,1.09
16.48,1.25,1.09
16.64,0.93,1.07
16.8,1.25,1.09
16.96,0.83,1.07
17.12,1.31,1.09
17.28,0.83,1.07
17.44,0.93,1.07
17.6,1.25,1.07
17.76,0.93,1.07
17.92,1.25,1.07
18.08,0.93,1.05
18.24,1.25,1.05
18.4,0.83,1.05
18.56,1.25,1.05
18.72,1.25,1.05
18.88,1.25,1.07
19.04,1.25,1.07
19.2,0.83,1.07
19.36,1.25,1.07
19.52,1.31,1.09
19.68,0.83,1.07
19.84,1.25,1.09
20,0.83,1.07
20.16,1.25,1.09
20.32,0.93,1.07
20.48,0.93,1.06
20.64,0.83,1.07
20.8,1.25,1.07
20.96,0.83,1.06
21.12,0.83,1.04
21.28,1.25,1.06
21.44,1.31,1.06
21.6,0.83,1.06
21.76,0.83,1.04
21.92,1.25,1.04
22.08,0.93,1.02
22.24,1.31,1.02
22.4,0.93,1.02
22.56,1.25,1.02
22.72,1.31,1.02
22.88,0.83,1.02
23.04,1.25,1.02
23.2,1.31,1.05
23.36,0.83,1.02
23.52,1.25,1.04
23.68,0.83,1.05
23.84,0.83,1.05
24,1.25,1.05
24.16,0.83,1.05
24.32,1.25,1.07
24.48,0.83,1.05
24.64,1.31,1.05
24.8,0.83,1.05
24.96,1.25,1.07
25.12,0.83,1.05
25.28,1.25,1.07
25.44,0.93,1.05
25.6,0.83,1.05
25.76,1.25,1.05
25.92,0.83,1.02
26.08,0.93,1.02
26.24,0.83,1
26.4,0.83,0.98
26.56,0.83,0.98
26.72,1.25,0.98
26.88,0.93,0.98
27.04,1.31,1
27.2,0.93,0.98
27.36,0.93,0.99
27.52,0.83,0.96
27.68,1.25,0.99
27.84,0.83,0.96
28,1.31,0.99
28.16,0.83,0.96
28.32,1.25,0.99
28.48,0.93,0.97
28.64,1.25,0.99
28.8,1.31,1.01
28.96,0.83,0.99
29.12,1.25,1.01
29.28,1.31,1.03
29.44,1.25,1.05
29.6,0.83,1.05
29.76,1.25,1.07
29.92,0.83,1.05
30.08,1.31,1.07
30.24,0.83,1.05
30.4,0.83,1.05
30.56,0.83,1.05
30.72,0.83,1.05
30.88,0.83,1.03
31.04,0.83,1.03
31.2,1.25,1.02
31.36,0.83,1.02
31.52,0.83,1
31.68,0.93,1
31.84,0.83,0.98
32,0.93,0.96
32.16,1.25,0.98
32.32,0.83,0.96
32.48,0.42,0.92
32.64,0.83,0.9
32.8,1.25,0.92
32.96,0.83,0.9
33.12,1.31,0.92
33.28,0.83,0.9
33.44,0.93,0.9
33.6,0.83,0.9
33.76,1.25,0.92
33.92,0.93,0.92
34.08,0.93,0.92
34.24,0.93,0.92
34.4,1.25,0.92
34.56,0.83,0.92
34.72,0.83,0.92
34.88,1.25,0.94
35.04,0.83,0.94
35.2,0.83,0.94
35.36,0.93,0.92
35.52,1.25,0.94
35.68,0.83,0.96
35.84,0.83,0.96
36,1.25,0.96
36.16,0.93,0.96
36.32,0.83,0.94
36.48,1.25,0.96
36.64,0.93,0.96
36.8,1.31,0.98
36.96,0.83,0.96
37.12,0.93,0.96
37.28,1.25,0.98
37.44,0.83,0.98
37.6,1.25,0.98
37.76,1.25,1
37.92,0.83,1
38.08,1.31,1
38.24,1.25,1.02
38.4,0.83,1.02
38.56,1.25,1.04
38.72,0.93,1.02
38.88,1.25,1.05
39.04,0.83,1.05
39.2,1.31,1.05
39.36,0.83,1.05
39.52,0.83,1.05
39.68,1.31,1.05
39.84,0.83,1.05
40,1.25,1.05
40.16,0.83,1.05
